Fe,Ni,Cu,Zn,Zr,Ag,Ag.1,Cd,Cd.1,Sn,Sn.1,Sb,Sb.1,cluster
18499.0,114.0,2012.0,802.0,3832.0,4466.0,1156.0,17941.0,0.0,3853.0,-1.0,-7.0,402.0,44
23268.0,160.0,2028.0,935.0,4416.0,4766.0,1365.0,18489.0,0.0,4352.0,0.0,3.0,1003.0,40
21923.0,106.0,3250.0,745.0,4439.0,4457.0,1330.0,17446.0,0.0,3539.0,0.0,-13.0,219.0,42
9126.0,1.0,5793.0,1036.0,3793.0,3565.0,1201.0,12474.0,0.0,2597.0,0.0,-6.0,569.0,1
14389.0,859.0,2897.0,1983.0,3755.0,4306.0,1332.0,14766.0,0.0,2904.0,0.0,-17.0,340.0,3
15521.0,184.0,2062.0,686.0,2728.0,2307.0,1453.0,6377.0,0.0,1492.0,0.0,9.0,325.0,27
8347.0,88.0,1904.0,784.0,2422.0,2033.0,1578.0,4872.0,0.0,1164.0,0.0,37.0,235.0,9
16836.0,221.0,2368.0,650.0,3619.0,2717.0,1612.0,7431.0,0.0,1478.0,0.0,30.0,148.0,25
11778.0,45.0,1846.0,487.0,2888.0,2494.0,1671.0,6288.0,0.0,1066.0,0.0,-2.0,646.0,7
20546.0,231.0,2142.0,718.0,3135.0,2677.0,1707.0,6985.0,0.0,1359.0,0.0,6.0,339.0,28
9704.0,329.0,1871.0,484.0,2813.0,2667.0,1440.0,6519.0,0.0,1334.0,1.0,0.0,244.0,11
8302.0,49.0,1832.0,944.0,2657.0,2642.0,1354.0,7404.0,0.0,1325.0,0.0,0.0,357.0,12
18233.0,141.0,3604.0,738.0,3126.0,2726.0,1502.0,8481.0,0.0,1509.0,0.0,-11.0,319.0,31
19382.0,285.0,3687.0,752.0,3269.0,3271.0,1438.0,9333.0,0.0,1608.0,0.0,9.0,2345.0,33
34053.0,220.0,2205.0,1472.0,2872.0,2509.0,1486.0,5950.0,0.0,1367.0,0.0,-3.0,288.0,24
12008.0,155.0,2449.0,560.0,2813.0,2354.0,1472.0,6479.0,0.0,1264.0,-1.0,-8.0,157.0,8
17538.0,1.0,2017.0,866.0,2962.0,2405.0,1591.0,6014.0,0.0,1427.0,0.0,5.0,262.0,26
25508.0,179.0,2480.0,876.0,3039.0,2963.0,1711.0,6518.0,0.0,1230.0,0.0,4.0,427.0,37
23023.0,211.0,2291.0,2092.0,4076.0,4389.0,1219.0,16089.0,0.0,3196.0,0.0,12.0,370.0,43
22024.0,75.0,1412.0,1227.0,2809.0,985.0,1971.0,1020.0,0.0,108.0,0.0,-7.0,283.0,36
9594.0,183.0,1597.0,815.0,1619.0,1304.0,1621.0,2005.0,0.0,238.0,0.0,-7.0,336.0,17
12561.0,29.0,1344.0,802.0,1543.0,1118.0,1735.0,2026.0,0.0,357.0,0.0,9.0,269.0,19
34022.0,116.0,1669.0,1958.0,3045.0,1266.0,1944.0,1544.0,0.0,178.0,0.0,-13.0,206.0,23
51532.0,72.0,1371.0,2130.0,7105.0,1244.0,2334.0,1176.0,0.0,167.0,0.0,23.0,352.0,49
29804.0,106.0,1416.0,1186.0,2404.0,1229.0,1926.0,1440.0,0.0,128.0,0.0,-1.0,374.0,21
7563.0,117.0,1623.0,693.0,1580.0,1339.0,1648.0,2080.0,0.0,164.0,0.0,16.0,197.0,16
23916.0,135.0,1204.0,967.0,1624.0,1320.0,2015.0,1495.0,0.0,191.0,0.0,13.0,242.0,34
29173.0,140.0,1785.0,2446.0,1904.0,1150.0,1952.0,1777.0,0.0,243.0,0.0,0.0,475.0,22
11030.0,102.0,2106.0,1046.0,1187.0,967.0,2029.0,750.0,0.0,51.0,0.0,9.0,267.0,18
7847.0,87.0,1287.0,1443.0,836.0,519.0,1945.0,711.0,0.0,86.0,0.0,-6.0,130.0,13
6459.0,87.0,1222.0,574.0,781.0,549.0,1990.0,614.0,0.0,83.0,0.0,81.0,146.0,15
3676.0,1.0,1755.0,597.0,709.0,769.0,1858.0,731.0,0.0,314.0,0.0,3790.0,320.0,6
7582.0,175.0,1304.0,557.0,1702.0,883.0,1956.0,817.0,0.0,106.0,0.0,19.0,185.0,14
8314.0,173.0,2020.0,443.0,2739.0,2273.0,1541.0,5063.0,0.0,895.0,0.0,-3.0,381.0,10
10291.0,211.0,1556.0,985.0,4203.0,3701.0,1257.0,12640.0,0.0,2567.0,0.0,10.0,1110.0,2
19721.0,166.0,1901.0,1406.0,3130.0,2501.0,1523.0,7750.0,0.0,1483.0,0.0,1.0,876.0,29
22816.0,20.0,1371.0,1070.0,7632.0,1233.0,2092.0,1170.0,0.0,203.0,0.0,-10.0,300.0,39
24867.0,99.0,1682.0,1420.0,2203.0,1626.0,1947.0,1840.0,0.0,321.0,0.0,0.0,407.0,35
25720.0,51.0,2145.0,1045.0,3036.0,2318.0,1856.0,3805.0,0.0,1024.0,0.0,25.0,710.0,38
20930.0,16.0,1880.0,831.0,2896.0,2481.0,1791.0,5643.0,0.0,1454.0,0.0,-9.0,447.0,30
25047.0,254.0,1971.0,1248.0,4395.0,5001.0,1528.0,19427.0,0.0,3680.0,0.0,29.0,710.0,41
20332.0,176.0,2191.0,840.0,6132.0,4294.0,1443.0,15198.0,0.0,2904.0,47.0,-3.0,1165.0,45
18763.0,117.0,2418.0,772.0,4496.0,3445.0,1426.0,9503.0,0.0,1456.0,0.0,-2.0,273.0,32
22123.0,247.0,2565.0,1285.0,4190.0,5166.0,1173.0,21847.0,0.0,4870.0,0.0,-14.0,577.0,46
26201.0,161.0,1886.0,1676.0,4297.0,4618.0,1204.0,15266.0,0.0,15514.0,264.0,-9.0,799.0,47
2208.0,215.0,1388.0,505.0,1409.0,1112.0,2106.0,1126.0,0.0,366.0,0.0,54.0,181.0,4
2678.0,171.0,2512.0,807.0,3076.0,3049.0,1356.0,8954.0,0.0,2159.0,9.0,2.0,310.0,20
3406.0,134.0,3003.0,797.0,4144.0,5133.0,1080.0,20906.0,0.0,5579.0,44.0,-9.0,526.0,48
2985.0,119.0,1190.0,418.0,892.0,707.0,1771.0,818.0,0.0,77.0,0.0,17.0,781.0,5
